keywords,city,Aggdata Store Number,store_number,address,state,zip_code
GUESS,Morelia,215,#215,Avenida Montaña Monarca Norte número 1000 (mil) Colonia desarrollo Montaña Monarca local PB-03,Michoacan,58350
GUESS,Mexico City,216,#216,"Cuauhtemoc 462, Col. Narvarte Del. Benito Juarez",Mexico D.F.,30020
GUESS,Puebla,217,#217,Boulevard del niño poblano 2510 Col. Concepcion de la cruz,Puebla,72450
GUESS,Monterrey,218,#218,"Ave. José Vasconcelos #402, Col. del Valle, San Pedro Garza Garcia local 200",Nuevo Leon,66220
GUESS,Cancun,220,#220,"Supermanzana 39, manzana 10 lote 01, Las Alamedas",Quintana Roo,77507
GUESS,Playa del Carmen,221,#221,"Av, 10 y primera sur, Col. Centro, Municipio de Solidaridad, Local 15",Quintana Roo,77710
GUESS,Los Angeles,2001,#2001,"189 The Grove, Suite K70",CA,90036
GUESS,Glendale,2002,#2002,"561 Americana Way, #C1",CA,91204
GUESS,McAllen,2003,#2003,"2200 South 10th Street, #6",TX,78503
GUESS,Paramus,2004,#2004,"Garden State Plaza, Space 5",NJ,7652
GUESS,Dallas,2005,#2005,"13350 Dallas Pkwy, Suite 1455",TX,75240
GUESS,Arcadia,2006,#2006,"400 S Baldwin Ave, Suite # D10",CA,91007
GUESS,Miami,2007,#2007,"7601 N. Kendall Drive, Space 2190",FL,33156
GUESS,Aventura,2009,#2009,"19501 Biscayne Blvd., #1615A",FL,33180
GUESS,Las Vegas,2010,#2010,"3200 Las Vegas Blvd., Space 1035",NV,89109
GUESS,Las Vegas,2011,#2011,"3663 S. Las Vegas Boulevard, Suite #F9",NV,89109
GUESS,San Francisco,2012,#2012,"845 Market Street, Suite #309",CA,94103
GUESS,Garden City,2013,#2013,"630 Old Country Road, #2025A",NY,11530
GUESS,Las Vegas,2014,#2014,3500 Las Vegas Blvd S. Suite L19B,NV,89109
GUESS,Hato Rey,2018,#2018,"525 Plaza Las Americas, #549",PR,918
GUESS,Boca Raton,2020,#2020,"6000 Glades Road, #1157",FL,33431
GUESS,Houston,2025,#2025,"5015 Westheimer, Suite A3400",TX,77056
GUESS,Brea,2027,#2027,2114 Brea Mall,CA,92821
GUESS,Scottsdale,2029,#2029,"7014 Camelback Road, Space #1021",AZ,85251
GUESS,New York,2030,#2030,514 Broadway,NY,10012
GUESS,Orlando,2032,#2032,"4200 Conroy Road, Space 232",FL,32839
GUESS,Miami Beach,2033,#2033,904 Lincoln Road,FL,33139
GUESS,King of Prussia,2034,#2034,"160 North Gulph Rd, Space 2193",PA,19406
GUESS,Cherry Hill,2035,#2035,"2000 Route 38, Suite #1780",NJ,8002
GUESS,San Antonio,2037,#2037,7400 San Pedro Ave. #1545,TX,78216
GUESS,Santa Clara,2038,#2038,2855 Stevens Creek Blvd. Suite # A093,CA,95050
GUESS,Mercedes,2302,#2302,"5001 E. Expressway 83, Space #305",TX,78570
GUESS,Las Vegas,2303,#2303,"905 S Grand Central Parkway, Suite #2141",NV,89106
GUESS,Miami,2304,#2304,"11401 NW 12th St., Space #388",FL,33172
GUESS,Commerce,2310,#2310,110 Citadel Drive # 600,CA,90040
GUESS,Toronto,2901,#2901,218 Yonge Street Unit 2-128,ON,M5B 2H6
GUESS,Toronto,2903,#2903,"3401 Dufferin Street, Highway 401, Unit #238",ON,M6A 2T9
